attack_fraction,k_nodes,NMI_louvain_hub_vs_labels,ARI_louvain_hub_vs_labels,NMI_gcn_hub_vs_labels,ARI_gcn_hub_vs_labels,NMI_louvain_bet_vs_labels,ARI_louvain_bet_vs_labels,NMI_gcn_bet_vs_labels,ARI_gcn_bet_vs_labels
0.01,27,0.40994999730239184,0.15418628268482795,0.4895697271877519,0.4925388070690657,0.4209713815843164,0.14419247365222382,0.4914570207437711,0.4945201570772071
0.03,81,0.38379848119031856,0.0924804420269961,0.48885947270946134,0.4889684097149445,0.4092902242586846,0.12257646987009624,0.4941001118546584,0.4968551150842286
0.05,135,0.3768222371779374,0.06059554045271919,0.48352884229557236,0.48333974983254485,0.4033182379808035,0.10331541146673567,0.4987609839174648,0.4997416907987635
